24
269MM8&b0.487,4047.8516,1816.2341
269557868,0.5807,4047.8516,2350.4207
269557907,0.4751,4023.4375,1911.4727
269557947,0.4487,4052.7344,1818.4250
269557986,0.5279,4038.0859,2131.5908
269558026,0.5015,3979.4922,1995.6278
269558065,0.5279,4052.7344,2139.3235
269558105,0.4487,4028.3203,1807.4706
269558145,0.4751,4047.8516,1923.0713
269558183,0.5807,4052.7344,2353.2559
269558223,0.5015,4018.5547,2015.2168
269558262,0.6071,4047.8516,2457.2581
269558302,0.4751,4047.8516,1923.0713
269558342,0.5015,4047.8516,2029.9086
269558381,0.5015,4047.8516,2029.9086
269558421,0.5279,4042.9688,2134.1685
269558460,0.5015,4042.9688,2027.4600
269558500,0.5807,4042.9688,2347.5854
269558540,0.4751,3886.7188,1846.5197
269558579,0.4751,4047.8516,1923.0713
269558619,0.5015,4023.4375,2017.6654
269558658,0.5279,4042.9688,2134.1685
269558697,0.4751,4038.0859,1918.4319
269558737,0.4751,4042.9688,1920.7516
269558776,0.5015,4028.3203,2020.1141
269558816,0.4751,4047.8516,1923.0713
269558855,0.4223,4047.8516,1709.3967
269558895,0.4487,4052.7344,1818.4250
269558935,0.4487,4047.8516,1816.2341
269558974,0.4751,4042.9688,1920.7516
269559014,0.6071,4038.0859,2451.3296
269559053,0.5015,4135.7422,2073.9839
269559093,0.6071,4042.9688,2454.2939
269559133,0.4751,4042.9688,1920.7516
269559172,0.5543,4038.0859,2238.1704
269559212,0.5015,4047.8516,2029.9086
269559250,0.4751,4042.9688,1920.7516
269559290,0.4487,4052.7344,1818.4250
269559329,0.4487,4008.7891,1798.7072
269559369,0.4487,4047.8516,1816.2341
269559409,0.4751,4033.2031,1916.1121
269559448,0.6334,4038.0859,2557.9089
269559488,0.4751,4047.8516,1923.0713
269559527,0.5543,4038.0859,2238.1704
269559567,0.6071,4047.8516,2457.2581
269559607,0.5015,4047.8516,2029.9086
269559646,0.4751,4042.9688,1920.7516
269559686,0.6071,4047.8516,2457.2581
269559725,0.5015,4033.2031,2022.5627
269559764,0.5015,4042.9688,2027.4600
269559804,0.5015,4042.9688,2027.4600
269559843,0.5015,4042.9688,2027.4600
269559883,0.4751,4047.8516,1923.0713
269559922,0.5015,4047.8516,2029.9086
269559962,0.5015,4047.8516,2029.9086
269560002,0.4487,4052.7344,1818.4250
269560041,0.4487,4028.3203,1807.4706
269560081,0.5279,4047.8516,2136.7458
269560120,0.5015,4018.5547,2015.2168
269560160,0.5015,4047.8516,2029.9086
269560200,0.4751,4047.8516,1923.0713
269560239,0.5015,4047.8516,2029.9086
269560279,0.4487,4052.7344,1818.4250
269560317,0.4751,4018.5547,1909.1528
269560357,0.4487,4033.2031,1809.6615
269560397,0.5279,4042.9688,2134.1685
269560436,0.4751,4057.6172,1927.7108
269560476,0.5279,4047.8516,2136.7458
269560515,0.4751,4057.6172,1927.7108
269560555,0.5279,4052.7344,2139.3235
269560594,0.4751,4047.8516,1923.0713
269560634,0.5015,4047.8516,2029.9086
269560674,0.5015,4052.7344,2032.3572
269560713,0.5279,4047.8516,2136.7458
269560753,0.5015,4042.9688,2027.4600
269560792,0.5015,4042.9688,2027.4600
269560832,0.5279,4018.5547,2121.2810
269560871,0.5279,4042.9688,2134.1685
269560910,0.5015,4047.8516,2029.9086
269560950,0.4487,4052.7344,1818.4250
269560989,0.4487,4047.8516,1816.2341
269561029,0.4487,3974.6094,1783.3710
269561069,0.5015,4042.9688,2027.4600
269561108,0.4751,4052.7344,1925.3911
269561148,0.4751,4052.7344,1925.3911
269561187,0.5015,4047.8516,2029.9086
269561227,0.4751,4042.9688,1920.7516
269561267,0.4751,4047.8516,1923.0713
269561306,0.6334,4042.9688,2561.0020
269561346,0.4487,4028.3203,1807.4706
269561384,0.4487,4028.3203,1807.4706
269561424,0.4487,4042.9688,1814.0432
269561464,0.4751,4047.8516,1923.0713
269561503,0.5279,4033.2031,2129.0134
269561543,0.4751,4047.8516,1923.0713
269561582,0.5279,4042.9688,2134.1685
269561622,0.5015,4047.8516,2029.9086
269561662,0.5807,4047.8516,2350.4207
269561701,0.4487,4028.3203,1807.4706
269561741,0.4487,4033.2031,1809.6615
269561780,0.5279,4042.9688,2134.1685
269561820,0.4487,4047.8516,1816.2341
269561859,0.5015,4042.9688,2027.4600
269561899,0.5015,4023.4375,2017.6654
269561938,0.5807,4042.9688,2347.5854
269561977,0.5015,4047.8516,2029.9086
269562017,0.5279,4047.8516,2136.7458
269562056,0.4751,4052.7344,1925.3911
269562096,0.5543,4042.9688,2240.8770
269562136,0.4751,4042.9688,1920.7516
269562175,0.4751,4042.9688,1920.7516
269562215,0.4223,4042.9688,1707.3348
269562254,0.4751,4052.7344,1925.3911
269562294,0.5279,4038.0859,2131.5908
269562334,0.5015,4047.8516,2029.9086
269562373,0.5015,4052.7344,2032.3572
269562413,0.4751,4047.8516,1923.0713
269562451,0.5015,4042.9688,2027.4600
269562491,0.5015,4033.2031,2022.5627
269562531,0.6071,4042.9688,2454.2939
269562570,0.5015,4042.9688,2027.4600
269562610,0.4751,4047.8516,1923.0713
269562649,0.4487,4052.7344,1818.4250
269562689,0.4751,4052.7344,1925.3911
269562729,0.6071,4038.0859,2451.3296
269562768,0.4487,4028.3203,1807.4706
269562808,0.6071,4042.9688,2454.2939
269562847,0.5279,4042.9688,2134.1685
269562887,0.5279,3886.7188,2051.6885
269562927,0.5543,4042.9688,2240.8770
269562966,0.5807,4047.8516,2350.4207
269563005,0.4751,4047.8516,1923.0713
269563044,0.5543,4042.9688,2240.8770
269563084,0.5015,4028.3203,2020.1141
269563123,0.5015,4057.6172,2034.8058
269563163,0.5015,4038.0859,2025.0114
269563203,0.4487,4042.9688,1814.0432
269563242,0.5807,4042.9688,2347.5854
269563282,0.5015,4047.8516,2029.9086
269563321,0.4487,4033.2031,1809.6615
269563361,0.4751,4052.7344,1925.3911
269563401,0.4751,4082.0313,1939.3096
269563440,0.4751,4047.8516,1923.0713
269563480,0.6334,4047.8516,2564.0950
269563518,0.4751,4042.9688,1920.7516
269563558,0.5279,4042.9688,2134.1685
269563598,0.5279,4047.8516,2136.7458
269563637,0.4751,4052.7344,1925.3911
269563677,0.5279,4042.9688,2134.1685
269563716,0.5015,4047.8516,2029.9086
269563756,0.5279,4042.9688,2134.1685
269563796,0.4751,4052.7344,1925.3911
269563835,0.5279,4033.2031,2129.0134
269563875,0.4751,4042.9688,1920.7516
269563914,0.5015,4047.8516,2029.9086
269563954,0.4751,4047.8516,1923.0713
269563994,0.4751,4028.3203,1913.7924
269564033,0.4487,4052.7344,1818.4250
269564072,0.5279,4052.7344,2139.3235
269564111,0.4751,4042.9688,1920.7516
269564151,0.4751,4052.7344,1925.3911
269564191,0.5015,4042.9688,2027.4600
269564230,0.4223,4042.9688,1707.3348
269564270,1.9795,3867.1875,7655.1694
269564309,1.8476,3837.8906,7090.6973
269564349,1.7420,3872.0703,6745.0552
