45625,866.0394
9965521,0.1056,410845
9965412,0.1584,4091.7969,647.9830
9965448,0.1848,4028.3203,744.2526
9965485,0.2111,4101.5625,866.0394
9965521,0.1056,410145
9965412,0.1584,4091.7969,647.9830
9965448,0.1848,4028.3203,744.2526
9965485,0.2111,4101.5625,866.0394
9965521,0.1056,4101.56?433017
9965557,0.1848,4086.9141,755.0781
9965594,0.1320,4160.1563,549.0071
9965630,0.1056,4101.5625,433.0197
9965667,0.1320,4091.7969,539.9858
9965703,0.1584,4096.6797,648.7563
9965740,0.1584,4096.6797,648.7563
9965775,0.1584,4091.7969,647.9830
9965812,0.2111,4101.5625,866.0394
9965848,0.1584,4096.6797,648.7563
9965885,0.1584,4018.5547,636.3843
9965922,0.1584,4091.7969,647.9830
9965958,0.1320,4096.6797,540.6302
9965995,0.2111,4086.9141,862.9464
9966030,0.1320,4101.5625,541.2746
9966067,0.1848,4101.5625,757.7845
9966103,0.1056,4096.6797,432.5042
9966140,0.1584,4091.7969,647.9830
9966176,0.1056,4101.5625,433.0197
9966213,0.1584,4101.5625,649.5295
9966248,0.1320,4096.6797,540.6302
9966285,0.1056,4096.6797,432.5042
9966322,0.1584,4125.9766,653.3958
9966358,0.1056,4106.4453,433.5352
9966395,0.1056,4086.9141,431.4732
9966431,0.1320,4091.7969,539.9858
9966468,0.1584,4096.6797,648.7563
9966503,0.1584,4106.4453,650.3027
9966540,0.1320,4101.5625,541.2746
9966576,0.1320,4101.5625,541.2746
9966613,0.1584,3979.4922,630.1982
9966649,0.1320,4096.6797,540.6302
9966686,0.1056,4101.5625,433.0197
9966723,0.1320,3994.1406,527.0984
9966758,0.1320,4091.7969,539.9858
9966795,0.1320,4106.4453,541.9189
9966831,0.1584,4096.6797,648.7563
9966868,0.1056,4091.7969,431.9887
9966904,0.1584,4106.4453,650.3027
9966941,0.1584,4008.7891,634.8378
9966977,0.1320,4091.7969,539.9858
9967013,0.1584,4096.6797,648.7563
9967049,0.1056,4028.3203,425.2872
9967086,0.1584,4101.5625,649.5295
9967123,0.1584,4101.5625,649.5295
9967159,0.1848,4086.9141,755.0781
9967196,0.1320,4086.9141,539.3415
9967232,0.1320,4096.6797,540.6302
9967268,0.1848,4091.7969,755.9802
9967304,0.1848,4106.4453,758.6866
9967341,0.1056,4096.6797,432.5042
9967377,0.1584,4106.4453,650.3027
9967414,0.1320,4096.6797,540.6302
9967450,0.1320,4096.6797,540.6302
9967486,0.1320,4121.0938,543.8521
9967523,0.1320,4096.6797,540.6302
9967559,0.1320,4096.6797,540.6302
9967596,0.1056,4096.6797,432.5042
9967632,0.1056,4096.6797,432.5042
9967669,0.1320,4096.6797,540.6302
9967705,0.1320,4101.5625,541.2746
9967741,0.1584,4101.5625,649.5295
9967777,0.1848,4096.6797,756.8823
9967814,0.1584,4082.0313,646.4365
9967851,0.1056,4096.6797,432.5042
9967887,0.1584,4101.5625,649.5295
9967924,0.1848,4096.6797,756.8823
9967960,0.1848,4096.6797,756.8823
9967996,0.1584,4096.6797,648.7563
9968032,0.1320,4106.4453,541.9189
9968069,0.1320,4091.7969,539.9858
9968105,0.1584,4096.6797,648.7563
9968142,0.1320,4096.6797,540.6302
9968178,0.1320,4101.5625,541.2746
9968215,0.1056,4096.6797,432.5042
9968251,0.1320,4101.5625,541.2746
9968287,0.1320,4106.4453,541.9189
9968324,0.1320,4091.7969,539.9858
9968360,0.1056,4111.3281,434.0507
9968397,0.1848,4096.6797,756.8823
9968433,0.1320,4096.6797,540.6302
9968470,0.1320,4106.4453,541.9189
9968505,0.1584,4096.6797,648.7563
9968542,0.1848,4096.6797,756.8823
9968578,0.1320,4101.5625,541.2746
9968615,0.1584,4082.0313,646.4365
9968652,0.1584,4096.6797,648.7563
9968688,0.1320,4086.9141,539.3415
9968724,0.1584,4101.5625,649.5295
9968760,0.1320,4096.6797,540.6302
9968797,0.1584,4096.6797,648.7563
9968833,0.1848,4091.7969,755.9802
9968870,0.1320,4096.6797,540.6302
9968906,0.1320,4101.5625,541.2746
9968943,0.1584,4086.9141,647.2098
9968978,0.1320,4101.5625,541.2746
9969015,0.1584,4233.3984,670.4072
9969052,0.1320,4091.7969,539.9858
9969088,0.1584,4101.5625,649.5295
9969125,0.1056,4155.2734,438.6902
9969161,0.1320,4086.9141,539.3415
9969198,0.1320,4101.5625,541.2746
9969233,0.2111,4096.6797,865.0084
9969270,0.1056,4101.5625,433.0197
