1395,0.2?????&?000,965.0153
361851433,0.2903,4052.7344,1176.6279
361851472,0.2375,4057.6172,963.8554
361851511,0.2375,4052.7344,962.6956
361851549,0.1848,4057.6172,749.6653
361851588,0.2111,4057.6172,856.7604
361851627,0.2639,4062.5000,1072.2393
361851666,0.2375,4052.7344,962.6956
361851705,0.2639,4057.6172,1070.9504
361851744,0.2639,4057.6172,1070.9504
361851784,0.2375,4047.8516,961.5356
361851822,0.2111,4062.5000,857.7914
361851860,0.2639,4067.3828,1073.5280
361851900,0.2375,4057.6172,963.8554
361851938,0.2639,4057.6172,1070.9504
361851978,0.2639,4057.6172,1070.9504
361852017,0.4223,4062.5000,1715.5828
361852057,0.2639,4067.3828,1073.5280
361852097,0.1848,4047.8516,747.8611
361852135,0.3431,4057.6172,1392.2356
361852175,0.3695,4052.7344,1497.5265
361852214,0.2375,4052.7344,962.6956
361852253,0.2111,4057.6172,856.7604
361852291,0.2375,4057.6172,963.8554
361852329,0.2639,4052.7344,1069.6617
361852369,0.2639,4052.7344,1069.6617
361852408,0.2375,4042.9688,960.3758
361852447,0.2639,4057.6172,1070.9504
361852486,0.2111,4052.7344,855.7294
361852525,0.2903,4062.5000,1179.4631
361852565,0.1584,4028.3203,637.9308
361852603,0.2903,4042.9688,1173.7927
361852643,0.2639,4057.6172,1070.9504
361852682,0.2639,4018.5547,1060.6405
361852722,0.2375,4057.6172,963.8554
361852761,0.1848,4042.9688,746.9590
361852798,0.3167,4067.3828,1288.2335
361852838,0.2111,4062.5000,857.7914
361852876,0.2375,4042.9688,960.3758
361852915,0.2639,4038.0859,1065.7954
361852954,0.3167,4047.8516,1282.0475
361852994,0.2639,4052.7344,1069.6617
361853034,0.2375,4042.9688,960.3758
361853072,0.2639,4052.7344,1069.6617
361853112,0.2111,4057.6172,856.7604
361853150,0.2375,4052.7344,962.6956
361853189,0.2639,4057.6172,1070.9504
361853229,0.2111,4062.5000,857.7914
361853266,0.2111,4057.6172,856.7604
361853305,0.2375,4057.6172,963.8554
361853343,0.1848,4062.5000,750.5675
361853382,0.2375,4052.7344,962.6956
361853420,0.2375,4057.6172,963.8554
361853459,0.2375,4052.7344,962.6956
361853498,0.2111,4057.6172,856.7604
361853536,0.2903,4052.7344,1176.6279
361853576,0.1848,4047.8516,747.8611
361853614,0.2111,4057.6172,856.7604
361853652,0.2375,4042.9688,960.3758
361853691,0.2639,4052.7344,1069.6617
361853730,0.2111,4057.6172,856.7604
361853769,0.2639,4062.5000,1072.2393
361853808,0.1848,4062.5000,750.5675
361853847,0.2639,4057.6172,1070.9504
361853886,0.2375,4057.6172,963.8554
361853925,0.2111,4062.5000,857.7914
361853964,0.3431,4052.7344,1390.5603
361854003,0.2639,4062.5000,1072.2393
361854043,0.1848,4155.2734,767.7078
361854081,0.2903,4052.7344,1176.6279
361854120,0.3431,4057.6172,1392.2356
361854160,0.1848,4057.6172,749.6653
361854198,0.2111,4038.0859,852.6364
361854237,0.2639,4052.7344,1069.6617
361854276,0.2903,4038.0859,1172.3750
361854316,0.2375,4057.6172,963.8554
361854354,0.2639,4062.5000,1072.2393
361854394,0.2111,4062.5000,857.7914
361854433,0.2375,4057.6172,963.8554
361854471,0.1584,3901.3672,617.8263
361854510,0.2111,4052.7344,855.7294
361854547,0.1848,4047.8516,747.8611
361854586,0.2111,4072.2656,859.8534
361854625,0.2375,4106.4453,975.4542
361854663,0.1848,3930.6641,726.2101
361854702,0.2639,4062.5000,1072.2393
361854741,0.2639,4057.6172,1070.9504
361854781,0.3167,4057.6172,1285.1405
361854820,0.2375,4042.9688,960.3758
361854859,0.2111,4057.6172,856.7604
361854898,0.2375,4057.6172,963.8554
361854936,0.2375,4057.6172,963.8554
361854974,0.2375,4062.5000,965.0153
361855012,0.2639,4086.9141,1078.6830
361855052,0.2111,4052.7344,855.7294
361855091,0.2375,4062.5000,965.0153
361855129,0.2639,4062.5000,1072.2393
