8,4038.??9,76.569
357188918,0.2375,4042.9688,960.3758
357188956,0.2903,4042.9688,1173.7927
357188996,0.2903,4038.0859,1172.3750
357189036,0.2111,4042.9688,853.6674
357189073,0.2111,4028.3203,850.5744
357189112,0.2375,4042.9688,960.3758
357189150,0.2375,4042.9688,960.3758
357189189,0.3695,4042.9688,1493.9180
357189228,0.2639,4038.0859,1065.7954
357189268,0.2639,4042.9688,1067.0842
357189308,0.3695,4033.2031,1490.3094
357189347,0.2639,4042.9688,1067.0842
357189387,0.2375,4042.9688,960.3758
357189425,0.2903,4038.0859,1172.3750
357189465,0.3431,4057.6172,1392.2356
357189505,0.2111,4038.0859,852.6364
357189542,0.2903,4038.0859,1172.3750
357189582,0.2111,3984.3750,841.2954
357189620,0.2375,4062.5000,965.0153
357189659,0.2639,4038.0859,1065.7954
357189699,0.2375,4033.2031,958.0560
357189737,0.3431,4033.2031,1383.8588
357189777,0.2639,4042.9688,1067.0842
357189816,0.2375,4042.9688,960.3758
357189855,0.2375,4042.9688,960.3758
357189893,0.2639,4042.9688,1067.0842
357189933,0.2375,4028.3203,956.8962
357189971,0.2375,4028.3203,956.8962
357190009,0.3959,4033.2031,1596.7600
357190049,0.2111,4169.9219,880.4734
357190087,0.2375,4018.5547,954.5764
357190126,0.2375,4042.9688,960.3758
357190165,0.2375,4033.2031,958.0560
357190203,0.2903,4111.3281,1193.6394
357190243,0.2903,4042.9688,1173.7927
357190282,0.4223,4023.4375,1699.0868
357190322,0.2903,4033.2031,1170.9574
357190361,0.2639,4047.8516,1068.3729
357190401,0.2639,4042.9688,1067.0842
357190440,0.2639,4057.6172,1070.9504
357190479,0.3695,4042.9688,1493.9180
357190519,0.3167,4042.9688,1280.5010
357190558,0.3167,4033.2031,1277.4081
357190598,0.2375,4042.9688,960.3758
357190637,0.2639,4042.9688,1067.0842
357190676,0.2639,4033.2031,1064.5067
357190716,0.3167,4047.8516,1282.0475
357190755,0.2639,4042.9688,1067.0842
357190795,0.2111,4125.9766,871.1944
357190834,0.2375,4052.7344,962.6956
357190872,0.2903,4038.0859,1172.3750
357190912,0.2903,4038.0859,1172.3750
357190950,0.2639,4042.9688,1067.0842
357190990,0.2375,4018.5547,954.5764
357191029,0.1848,4038.0859,746.0569
357191067,0.2903,4038.0859,1172.3750
357191107,0.2375,4042.9688,960.3758
357191145,0.2375,4047.8516,961.5356
357191184,0.2903,4038.0859,1172.3750
357191223,0.2903,3994.1406,1159.6165
357191263,0.2903,4042.9688,1173.7927
357191303,0.2111,4013.6719,847.4814
357191341,0.2903,4052.7344,1176.6279
357191380,0.3959,4033.2031,1596.7600
357191419,0.2639,4042.9688,1067.0842
357191459,0.2639,4042.9688,1067.0842
357191499,0.2903,4042.9688,1173.7927
357191538,0.2375,4042.9688,960.3758
357191577,0.2375,4018.5547,954.5764
357191615,0.2375,4042.9688,960.3758
357191654,0.2111,4047.8516,854.6984
357191692,0.2903,4038.0859,1172.3750
357191732,0.2639,4042.9688,1067.0842
357191772,0.2639,4047.8516,1068.3729
357191811,0.2375,4042.9688,960.3758
357191849,0.2903,4038.0859,1172.3750
357191888,0.2903,4042.9688,1173.7927
357191928,0.2903,4023.4375,1168.1222
357191968,0.2639,4042.9688,1067.0842
357192007,0.2111,4018.5547,848.5124
357192046,0.2639,4038.0859,1065.7954
357192085,0.3431,4077.1484,1398.9371
357192125,0.3695,4042.9688,1493.9180
357192165,0.2375,4042.9688,960.3758
357192203,0.2375,4047.8516,961.5356
357192242,0.2903,4038.0859,1172.3750
357192281,0.2111,4033.2031,851.6054
357192320,0.3695,4038.0859,1492.1138
357192358,0.2639,4047.8516,1068.3729
357192398,0.3167,4042.9688,1280.5010
357192438,0.2903,4042.9688,1173.7927
357192477,0.2375,4042.9688,960.3758
357192516,0.2639,4038.0859,1065.7954
357192555,0.2375,4042.9688,960.3758
357192594,0.2375,4042.9688,960.3758
357192633,0.2639,4023.4375,1061.9292
357192672,0.2639,4042.9688,1067.0842
357192712,0.2639,4047.8516,1068.3729
357192751,0.2375,4038.0859,959.2159
357192790,0.2375,4042.9688,960.3758
357192828,0.2639,4042.9688,1067.0842
357192867,0.2375,4038.0859,959.2159
357192906,0.2903,4042.9688,1173.7927
357192945,0.2375,4042.9688,960.3758
357192984,0.3431,4047.8516,1388.8849
357193023,0.3431,4042.9688,1387.2095
357193063,0.3167,4047.8516,1282.0475
357193103,0.2375,4042.9688,960.3758
357193141,0.2375,4042.9688,960.3758
357193180,0.3167,4042.9688,1280.5010
357193219,0.2111,4013.6719,847.4814
357193257,0.2375,4008.7891,952.2567
357193296,0.3431,4028.3203,1382.1833
357193335,0.2375,4038.0859,959.2159
357193374,0.2639,4062.5000,1072.2393
357193413,0.2639,4038.0859,1065.7954
357193453,0.2639,4047.8516,1068.3729
357193493,0.2639,4033.2031,1064.5067
357193532,0.2375,4047.8516,961.5356
357193571,0.3431,4038.0859,1385.5342
357193610,0.2903,4047.8516,1175.2103
357193650,0.2639,4033.2031,1064.5067
357193689,0.2639,4038.0859,1065.7954
357193729,0.3431,4023.4375,1380.5081
357193768,0.2639,4042.9688,1067.0842
357193807,0.2639,4047.8516,1068.3729
357193847,0.2111,4042.9688,853.6674
357193885,0.2111,4028.3203,850.5744
357193924,0.2639,4042.9688,1067.0842
357193964,0.2639,4023.4375,1061.9292
357194003,0.3167,4072.2656,1289.7800
357194043,0.3167,4042.9688,1280.5010
357194082,0.2639,4033.2031,1064.5067
357194122,0.2375,4047.8516,961.5356
357194161,0.3431,4047.8516,1388.8849
357194200,0.2375,4047.8516,961.5356
357194238,0.2903,4042.9688,1173.7927
357194277,0.2639,3994.1406,1054.1968
357194317,0.2375,4072.2656,967.3350
357194355,0.2375,4106.4453,975.4542
357194394,0.3431,4057.6172,1392.2356
357194434,0.2639,4038.0859,1065.7954
357194473,0.2903,4042.9688,1173.7927
357194513,0.2639,4038.0859,1065.7954
357194552,0.2375,4047.8516,961.5356
357194591,0.2375,4047.8516,961.5356
357194630,0.2111,4047.8516,854.6984
357194668,0.2375,4033.2031,958.0560
357194706,0.3431,4038.0859,1385.5342
357194745,0.2903,4042.9688,1173.7927
357194785,0.2903,4042.9688,1173.7927
357194825,0.2375,4047.8516,961.5356
357194863,0.2639,4038.0859,1065.7954
357194903,0.2639,4033.2031,1064.5067
357194942,0.3167,4047.8516,1282.0475
357194982,0.3167,4047.8516,1282.0475
357195021,0.2903,4038.0859,1172.3750
357195061,0.3431,4018.5547,1378.8326
357195101,0.2111,4042.9688,853.6674
357195139,0.2111,4052.7344,855.7294
357195177,0.2639,4018.5547,1060.6405
357195216,0.2903,4042.9688,1173.7927
357195256,0.2375,4047.8516,961.5356
357195295,0.2375,4042.9688,960.3758
357195333,0.2639,4047.8516,1068.3729
357195373,0.2375,4038.0859,959.2159
357195411,0.2903,4047.8516,1175.2103
357195451,1.6628,3876.9531,6446.5811
357195491,1.6628,3876.9531,6446.5811
357195530,1.9531,3793.9453,7410.0493
357195570,1.6628,3852.5391,6405.9854
357195609,1.5044,3876.9531,5832.6206
357195649,1.1877,3891.6016,4622.0986
357195688,1.2933,3881.8359,5020.3223
357195727,1.2669,3916.0156,4961.1685
357195767,1.2669,3886.7188,4924.0522
357195806,1.4516,3940.4297,5720.1128
357195846,1.4516,3901.3672,5663.4077
357195885,1.2141,3901.3672,4736.6685
357195925,1.2405,3891.6016,4827.5249
357195965,1.2933,3911.1328,5058.2114
357196004,1.3989,3872.0703,5416.4834
357196044,1.3989,3852.5391,5389.1616
357196083,1.4516,3867.1875,5613.7910
357196123,1.3725,3886.7188,5334.3901
357196163,1.5836,3837.8906,6077.7407
357196201,1.7156,3847.6563,6600.9727
357196241,1.5308,3886.7188,5949.8970
357196280,1.5836,3847.6563,6093.2056
357196320,1.6364,3842.7734,6288.3223
357196360,1.6892,3837.8906,6482.9233
357196399,1.5836,3852.5391,6100.9380
357196439,2.0059,3798.8281,7620.1152
357196478,1.5572,3808.5938,5930.8232
357196518,1.8476,3833.0078,7081.6758
357196558,1.6892,3842.7734,6491.1714
357196597,1.7420,3828.1250,6668.5034
357196637,1.7420,3842.7734,6694.0205
357196676,1.4780,3837.8906,5672.5581
357196716,1.6892,3828.1250,6466.4272
357196755,1.6100,3852.5391,6202.6206
357196794,1.8212,3837.8906,6989.4019
357196834,1.7948,3803.7109,6826.7617
357196873,1.7156,3818.3594,6550.7114
357196913,1.8739,3833.0078,7182.8433
357196953,1.6100,3867.1875,6226.2046
357196992,1.7948,3833.0078,6879.3428
357197032,1.7156,3847.6563,6600.9727
357197071,1.7684,3823.2422,6760.9063
357197111,1.6364,3847.6563,6296.3125
357197150,1.5044,3828.1250,5759.1616
357197190,1.6100,3867.1875,6226.2046
357197230,1.7156,3828.1250,6567.4653
357197268,1.4780,3837.8906,5672.5581
357197308,1.6100,3857.4219,6210.4819
357197347,1.7684,3852.5391,6812.7144
357197387,1.6100,3833.0078,6171.1753
357197427,1.7684,3813.4766,6743.6372
357197466,1.8739,3833.0078,7182.8433
357197506,1.7948,3789.0625,6800.4712
357197545,1.6100,3813.4766,6139.7295
357197585,1.8212,3823.2422,6962.7246
357197625,1.7420,3837.8906,6685.5146
357197664,1.6100,3833.0078,6171.1753
357197704,1.4253,3862.3047,5504.7627
357197743,1.6364,3837.8906,6280.3320
357197783,1.4253,3881.8359,5532.5996
357197822,1.5044,3847.6563,5788.5454
357197861,1.6100,3823.2422,6155.4521
357197901,1.8212,3823.2422,6962.7246
357197940,2.0323,3774.4141,7670.7632
357197980,2.0059,3793.9453,7610.3208
357198020,1.7948,3813.4766,6844.2886
357198059,1.7948,3876.9531,6958.2144
357198099,1.5572,3842.7734,5984.0488
357198138,1.6628,3823.2422,6357.2705
357198178,1.5572,3876.9531,6037.2739
357198218,1.7684,3833.0078,6778.1758
357198257,1.4253,3857.4219,5497.8037
357198297,1.4780,3974.6094,5874.6338
357198336,1.3197,3901.3672,5148.5522
357198375,1.3725,3867.1875,5307.5840
357198414,1.5044,3862.3047,5810.5830
357198454,1.6892,3837.8906,6482.9233
